"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","25.02.2024",,,"Origin Time","0,000","s"
"Log Time","13:39:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,900","s"
"Duration","40,900","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1712","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,024","0,2862","0,1335","292,664","-2,7847","-2,614","-1,5517","-1,4974","-275,76","215,40","190,987","0","0","0","0","0,0015","-5,4982","-5,4982","-0,5658","2,740","0,003","0,354","65,376","-0,0386","-0,2256","-0,08","100,00","1,0000","1,0000","201,96","0","0","0","0","0","0","0","8560,4","0","55","5,0000","235,32","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","50,339","50,339","48,553","48,553","34","-29,40","32,57","-42,41","40,56","0,0000","1783,582","-0,02","100","27,922","27,717","40,790","40,447","0,0000","1","100,00","0","0","0","0","3375","4267,7","4088","4190,0","304,390","301,578","314,931","314,474","21,7633","20,5135","21,7961","21,2620","314,999990000","314,999990000","324,999980000","324,999980000","99,5584","99,5072","99,5684","99,5434","0,036","-0,076","-0,427","0,376","-0,04","-0,03","1,625","1,615","37,021","29,210","37,226","33,888","56,110","34,482","60,265","50,924","54,039","33,665","58,860","49,337","53,214","33,240","58,834","48,791","-0,085","-0,077","0,3918","0,4014","0","204,86","204,85","201,96","201,96","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,040","0,3174","0,1672","291,870","-2,6336","-2,698","-1,5978","-1,5206","-272,42","215,41","190,968","0","0","0","0","0,0035","-5,4982","-5,4982","-0,4539","-1,491","-0,047","-0,087","65,535","-0,0242","-0,1532","0,45","100,00","1,0000","1,0000","201,79","0","0","0","0","0","0","0","8553,3","0","55","5,0000","235,89","1,0000","0","0","0","0","0","0,0000","0","0,054","0,054","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","54,367","54,367","46,143","46,143","34","-21,87","16,30","-55,03","59,41","0,0000","1783,532","0,32","100","27,683","27,370","43,360","43,586","0,0000","1","100,00","0","0","0","0","2751","2375,9","4849","5571,4","306,563","307,268","312,843","311,114","21,7729","20,5186","21,8075","21,2713","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5072","99,5686","99,5435","0,029","-0,104","-0,420","0,373","-0,02","-0,04","1,332","1,356","37,081","29,241","37,297","33,945","56,092","34,520","60,320","51,005","54,022","33,700","58,912","49,413","53,196","33,273","58,883","48,866","-0,047","-0,098","0,3907","0,4029","0","205,30","205,28","201,79","201,79","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,070","0,2969","0,0256","293,365","-2,6578","-2,659","-1,5046","-1,5155","-269,08","215,41","190,949","0","0","0","0","0,0054","-5,4982","-5,4982","-0,5769","0,323","-0,014","2,029","65,666","-0,0239","-0,2656","0,67","100,00","1,0000","1,0000","203,32","0","0","0","0","0","0","0","8617,9","0","55","5,0000","236,37","0,0000","0","0","0","0","0","0,0000","0","0,105","0,105","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","51,468","51,468","50,110","50,110","34","-29,38","23,33","-34,03","29,27","0,0000","1783,480","0,46","100","28,244","27,490","42,564","42,458","0,0000","1","100,00","0","0","0","0","3448","3304,5","3501","3296,5","304,313","304,223","316,384","316,721","21,7829","20,5237","21,8181","21,2796","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5073","99,5687","99,5437","0,021","-0,113","-0,446","0,378","-0,06","-0,07","1,870","1,880","37,143","29,273","37,363","33,998","56,079","34,559","60,358","51,063","54,009","33,736","58,947","49,469","53,182","33,308","58,916","48,921","-0,046","-0,112","0,3952","0,4068","0","205,73","205,69","203,32","203,32","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,066","0,2971","0,0378","292,496","-2,6898","-2,674","-1,5540","-1,4713","-265,72","215,42","190,928","0","0","0","0","0,0074","-5,4982","-5,4982","-0,4864","0,674","0,013","-2,053","65,823","-0,0421","-0,1713","0,74","100,00","1,0000","1,0000","203,03","0","0","0","0","0","0","0","8605,8","0","55","5,0000","236,93","1,0000","0","0","0","0","0","0,0000","0","0,156","0,156","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,299","53,299","46,677","46,677","34","-23,16","19,80","-50,73","43,88","0,0000","1783,430","0,45","100","27,878","27,711","42,741","42,859","0,0000","1","100,00","0","0","0","0","2806","2865,6","4554","4460,9","306,377","305,509","313,765","313,614","21,7925","20,5291","21,8288","21,2886","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5073","99,5689","99,5438","0,022","-0,117","-0,450","0,363","-0,03","-0,04","1,453","1,498","37,203","29,307","37,430","34,054","56,061","34,602","60,404","51,139","53,993","33,775","58,989","49,542","53,165","33,346","58,954","48,992","-0,044","-0,115","0,3962","0,4025","0","206,26","206,18","203,03","203,03","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,073","0,2890","0,0170","293,015","-2,6737","-2,749","-1,4877","-1,5883","-262,56","215,42","190,910","0","0","0","0","0,0092","-5,4982","-5,4982","-0,5204","-1,022","-0,045","-0,838","65,958","-0,0472","-0,2229","0,93","100,00","1,0000","1,0000","203,69","0","0","0","0","0","0","0","8633,7","0","55","5,0000","237,42","0,0000","0","0","0","0","0","0,0000","0","0,204","0,204","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,948","52,948","48,141","48,141","34","-27,62","19,80","-42,52","35,74","0,0000","1783,382","0,57","100","27,767","27,280","43,513","42,950","0,0000","1","100,00","0","0","0","0","3213","2844,2","4037","3799,5","305,180","305,685","315,019","315,324","21,8017","20,5339","21,8392","21,2969","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5073","99,5690","99,5440","0,006","-0,126","-0,461","0,345","-0,04","-0,06","1,630","1,667","37,261","29,337","37,495","34,106","56,046","34,638","60,448","51,203","53,978","33,809","59,031","49,603","53,150","33,378","58,993","49,053","-0,037","-0,118","0,3938","0,4030","0","206,62","206,55","203,69","203,69","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,079","0,2957","-0,0497","293,335","-2,6498","-2,722","-1,5414","-1,5683","-258,99","215,42","190,890","0","0","0","0","0,0113","-5,4982","-5,4982","-0,5278","0,615","-0,027","-0,246","66,110","-0,0645","-0,2103","0,99","100,00","1,0000","1,0000","204,26","0","0","0","0","0","0","0","8657,7","0","55","5,0000","237,97","1,0000","0","0","0","0","0","0,0000","0","0,258","0,258","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,192","53,192","48,492","48,492","34","-26,38","20,02","-42,70","35,96","0,0000","1783,328","0,29","100","27,681","27,208","43,039","42,304","0,0000","1","100,00","0","0","0","0","3086","2882,2","3932","3942,9","305,476","305,477","315,313","315,053","21,8122","20,5394","21,8505","21,3061","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5073","99,5692","99,5441","0,004","-0,125","-0,488","0,323","-0,05","-0,05","1,645","1,687","37,326","29,371","37,566","34,163","56,030","34,681","60,493","51,272","53,963","33,849","59,073","49,669","53,134","33,416","59,032","49,117","-0,052","-0,099","0,3988","0,4059","0","207,13","207,05","204,26","204,26","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,102","0,2933","-0,0088","293,091","-2,6799","-2,771","-1,4885","-1,5539","-256,02","215,42","190,871","0","0","0","0","0,0130","-5,4982","-5,4982","-0,5165","-0,254","-0,044","0,252","66,241","-0,0718","-0,1912","0,82","100,00","1,0000","1,0000","204,46","0","0","0","0","0","0","0","8666,5","0","55","5,0000","238,44","0,0000","0","0","0","0","0","0,0000","0","0,303","0,303","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,513","53,513","47,852","47,852","34","-26,74","19,84","-45,27","38,45","0,0000","1783,283","0,39","100","27,574","26,778","43,335","42,450","0,0000","1","100,00","0","0","0","0","3076","2864,3","4182","4093,5","305,452","305,744","314,592","314,683","21,8207","20,5439","21,8601","21,3139","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5073","99,5693","99,5443","0,001","-0,131","-0,470","0,334","-0,07","-0,04","1,579","1,602","37,379","29,399","37,626","34,212","56,015","34,715","60,535","51,334","53,948","33,880","59,111","49,729","53,119","33,446","59,067","49,176","-0,046","-0,110","0,3937","0,4092","0","207,52","207,43","204,46","204,46","0","0"
