"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","26.02.2024",,,"Origin Time","0,000","s"
"Log Time","14:46:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,850","s"
"Duration","40,850","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1711","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,181","0,2688","0,0074","292,984","-5,6424","-2,542","-1,4633","-1,564","-275,67","216,11","190,987","0","0","0","0","0,0016","-5,4982","-5,4982","-0,6503","0,952","-0,054","0,157","65,335","-0,1235","-0,3043","1,66","100,00","1,0000","1,0000","201,89","0","0","0","0","0","0","0,0000","8557,5","0","55","5,0000","235,18","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","48,523","48,523","51,117","51,117","34","-60,69","50,62","-31,16","17,41","0,0000","1783,624","-9,55","100","30,648","30,605","40,281","39,106","0","0","100,00","0","0","0","0","3472","3324,9","3790","3635,9","304,272","304,092","315,711","315,835","21,8033","20,5779","21,8541","21,3086","314,999990000","314,999990000","324,999980000","324,999980000","99,5600","99,5118","99,5703","99,5453","-0,293","0,627","-0,266","-0,035","-0,08","-0,05","1,610","1,689","37,271","29,611","37,588","34,179","58,953","36,579","60,650","51,552","54,770","35,632","59,302","49,999","51,850","35,165","59,350","49,513","0,186","0,668","0,11113","0,10578","0","204,73","204,55","201,89","201,89","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,226","0,3006","0,1100","290,726","-5,5814","-2,868","-1,5063","-1,421","-272,33","216,12","190,965","0","0","0","0","0,0035","-5,4982","-5,4982","-0,5331","1,602","-0,093","-1,119","65,484","-0,1247","-0,2086","1,68","100,00","1,0000","1,0000","201,97","0","0","0","0","0","0","0,0000","8560,8","0","55","5,0000","235,71","1,0000","0","0","0","0","0","0,0000","0","0,054","0,054","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","50,247","50,247","46,936","46,936","34","-54,55","41,44","-39,94","20,85","0,0000","1783,573","-9,46","100","31,189","29,706","43,926","43,104","0","0","100,00","0","0","0","0","3193","2751,2","4533","4436,9","305,055","306,095","313,862","313,726","21,8137","20,5837","21,8651","21,3176","314,999998000","314,999998000","324,999988000","324,999988000","99,5600","99,5118","99,5704","99,5454","-0,271","0,614","-0,254","-0,034","-0,09","-0,06","1,403","1,485","37,336","29,648","37,657","34,235","58,956","36,646","60,689","51,617","54,772","35,692","59,338","50,060","51,850","35,222","59,384","49,573","0,190","0,663","0,10357","0,11169","0","205,27","205,09","201,97","201,97","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,203","0,2835","0,0300","291,092","-5,5383","-2,878","-1,4767","-1,710","-268,79","216,12","190,945","0","0","0","0","0,0056","-5,4982","-5,4982","-0,5263","-0,246","-0,095","2,366","65,637","-0,1215","-0,2396","1,98","100,00","1,0000","1,0000","202,57","0","0","0","0","0","0","0,0000","8586,2","0","55","5,0000","236,26","0,0000","0","0","0","0","0","0,0000","0","0,108","0,108","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","50,537","50,537","46,967","46,967","34","-57,89","43,21","-36,36","20,97","0,0000","1783,519","-9,61","100","30,852","28,626","45,386","43,271","0","0","100,00","0","0","0","0","3360","2839,3","4177","3976,3","304,543","305,843","314,599","315,010","21,8247","20,5895","21,8770","21,3270","314,999998000","314,999998000","324,999988000","324,999988000","99,5600","99,5119","99,5706","99,5456","-0,275","0,624","-0,271","-0,050","-0,08","-0,06","1,498","1,578","37,405","29,685","37,731","34,294","58,959","36,710","60,734","51,679","54,774","35,752","59,380","50,119","51,850","35,278","59,422","49,631","0,187","0,679","0,10348","0,10395","0","205,65","205,48","202,57","202,57","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,181","0,2963","-0,0137","291,916","-5,6936","-2,762","-1,5101","-1,620","-265,64","216,11","190,927","0","0","0","0","0,0074","-5,4982","-5,4982","-0,5308","-0,082","-0,035","0,240","65,772","-0,1288","-0,2455","1,43","100,00","1,0000","1,0000","203,02","0","0","0","0","0","0","0,0000","8605,5","0","55","5,0000","236,75","1,0000","0","0","0","0","0","0,0000","0","0,156","0,156","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","51,315","51,315","47,256","47,256","34","-52,85","43,36","-34,99","20,57","0,0000","1783,470","-9,70","100","29,823","28,843","44,373","42,698","0","0","100,00","0","0","0","0","3091","2870,1","4068","3998,1","305,360","305,637","314,925","314,925","21,8343","20,5949","21,8872","21,3353","314,999998000","314,999998000","324,999988000","324,999988000","99,5601","99,5120","99,5707","99,5457","-0,271","0,620","-0,264","-0,037","-0,07","-0,07","1,541","1,582","37,464","29,718","37,795","34,346","58,958","36,771","60,767","51,736","54,773","35,807","59,412","50,174","51,847","35,331","59,450","49,684","0,179","0,684","0,11190","0,09953","0","206,06","205,91","203,02","203,02","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,169","0,2897","-0,0377","292,664","-5,6513","-2,846","-1,5305","-1,611","-262,28","216,10","190,908","0","0","0","0","0,0094","-5,4982","-5,4982","-0,5468","-0,380","-0,087","-1,414","65,915","-0,1208","-0,2452","1,31","100,00","1,0000","1,0000","203,49","0","0","0","0","0","0","0,0000","8625,1","0","55","5,0000","237,27","0,0000","0","0","0","0","0","0,0000","0","0,207","0,207","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,017","52,017","47,897","47,897","34","-54,31","42,59","-34,78","20,21","0,0000","1783,419","-9,62","100","29,156","28,191","43,785","42,040","0","0","100,00","0","0","0","0","3179","2796,1","4119","3776,4","305,229","305,887","314,780","315,435","21,8442","20,6006","21,8980","21,3441","314,999998000","314,999998000","324,999988000","324,999988000","99,5601","99,5121","99,5708","99,5459","-0,279","0,627","-0,243","-0,013","-0,09","-0,08","1,554","1,604","37,526","29,753","37,862","34,401","58,955","36,834","60,803","51,795","54,770","35,865","59,444","50,230","51,843","35,386","59,480","49,739","0,187","0,683","0,11126","0,10535","0","206,47","206,36","203,49","203,49","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,171","0,2972","-0,0379","292,786","-5,6394","-2,846","-1,4911","-1,664","-259,11","216,09","190,889","0","0","0","0","0,0112","-5,4982","-5,4982","-0,5531","-0,106","-0,113","0,208","66,050","-0,1184","-0,2325","1,47","100,00","1,0000","1,0000","203,88","0","0","0","0","0","0","0,0000","8641,8","0","55","5,0000","237,75","1,0000","0","0","0","0","0","0,0000","0","0,255","0,255","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,032","52,032","48,599","48,599","34","-55,25","42,29","-35,05","21,84","0,0000","1783,373","-10,28","100","29,381","27,776","43,469","41,513","0","0","100,00","0","0","0","0","3240","2760,1","4153","3922,4","305,022","306,077","314,771","315,107","21,8537","20,6058","21,9081","21,3523","314,999998000","314,999998000","324,999988000","324,999988000","99,5601","99,5121","99,5710","99,5460","-0,263","0,652","-0,253","-0,013","-0,08","-0,07","1,547","1,592","37,586","29,786","37,926","34,452","58,954","36,893","60,837","51,849","54,768","35,919","59,476","50,281","51,840","35,438","59,509","49,788","0,165","0,716","0,11235","0,11372","0","206,92","206,76","203,88","203,88","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,153","0,2875","-0,0025","292,374","-5,6084","-2,865","-1,5425","-1,598","-255,94","216,07","190,870","0","0","0","0","0,0131","-5,4982","-5,4982","-0,5543","0,187","-0,083","0,629","66,184","-0,1216","-0,2320","1,15","100,00","1,0000","1,0000","204,28","0","0","0","0","0","0","0,0000","8658,9","0","55","5,0000","238,23","0,0000","0","0","0","0","0","0,0000","0","0,303","0,303","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","51,376","51,376","48,203","48,203","34","-54,20","45,86","-35,29","21,39","0,0000","1783,324","-10,57","100","29,635","28,374","43,475","41,786","0","0","100,00","0","0","0","0","3221","2896,8","4132","3995,9","305,044","305,551","314,824","314,962","21,8633","20,6112","21,9183","21,3607","314,999998000","314,999998000","324,999988000","324,999988000","99,5601","99,5122","99,5711","99,5461","-0,227","0,685","-0,248","-0,014","-0,06","-0,09","1,534","1,593","37,645","29,820","37,990","34,504","58,952","36,956","60,871","51,904","54,766","35,977","59,508","50,334","51,837","35,493","59,538","49,840","0,121","0,751","0,10437","0,11572","0","207,32","207,20","204,28","204,28","0","0"
