"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","25.02.2024",,,"Origin Time","0,000","s"
"Log Time","14:02:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,850","s"
"Duration","40,850","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1712","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,015","0,2961","0,1071","292,786","-2,7947","-2,603","-1,5691","-1,5024","-275,70","215,43","190,987","0","0","0","0","0,0016","-5,4982","-5,4982","-0,5723","1,724","0,010","0,150","65,531","-0,0260","-0,2323","-0,04","100,00","1,0000","1,0000","202,32","0","0","0","0","0","0","0,0000","8575,4","0","55","5,0000","235,88","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","50,171","50,171","48,767","48,767","34","-29,42","33,09","-28,64","26,80","0,0000","1783,504","0,16","100","27,865","27,786","40,523","40,341","0","0","100,00","0","0","0","0","3363","4353,0","4027","4136,1","304,503","301,325","315,047","314,590","21,7741","20,5136","21,7727","21,3181","314,999990000","314,999990000","324,999980000","324,999980000","99,5589","99,5072","99,5655","99,5455","0,032","-0,077","-0,127","0,096","-0,03","-0,03","1,544","1,571","37,088","29,210","37,080","34,238","56,285","34,467","59,177","51,737","54,208","33,650","57,800","50,087","53,383","33,222","57,764","49,509","-0,070","-0,087","0,10133","0,11482","0","205,31","205,31","202,32","202,32","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,047","0,3417","0,1909","291,840","-2,6308","-2,690","-1,6051","-1,5276","-272,36","215,43","190,967","0","0","0","0","0,0035","-5,4982","-5,4982","-0,4794","-1,310","-0,044","-0,269","65,689","-0,0207","-0,1824","0,50","100,00","1,0000","1,0000","202,19","0","0","0","0","0","0","0,0000","8569,9","0","55","5,0000","236,45","1,0000","0","0","0","0","0","0,0000","0","0,054","0,054","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","53,635","53,635","46,844","46,844","34","-22,41","17,24","-38,33","39,92","0,0000","1783,454","0,30","100","28,083","27,809","42,609","43,052","0","0","100,00","0","0","0","0","2858","2465,7","4864","5674,1","306,217","306,953","312,819","310,892","21,7840","20,5187","21,7837","21,3274","314,999998000","314,999998000","324,999988000","324,999988000","99,5589","99,5072","99,5657","99,5456","0,042","-0,096","-0,130","0,081","-0,03","-0,03","1,298","1,321","37,150","29,242","37,148","34,297","56,269","34,506","59,225","51,807","54,193","33,686","57,844","50,154","53,366","33,258","57,806","49,575","-0,057","-0,098","0,10482","0,10951","0","205,80","205,76","202,19","202,19","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,067","0,3004","-0,0912","293,549","-2,6656","-2,641","-1,5749","-1,5104","-268,80","215,44","190,947","0","0","0","0","0,0056","-5,4982","-5,4982","-0,5835","0,964","-0,004","1,680","65,832","-0,0239","-0,2763","0,74","100,00","1,0000","1,0000","203,66","0","0","0","0","0","0","0,0000","8632,5","0","55","5,0000","236,97","0,0000","0","0","0","0","0","0,0000","0","0,108","0,108","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","51,392","51,392","50,522","50,522","34","-28,59","21,80","-24,86","19,52","0,0000","1783,401","0,47","100","28,584","28,063","41,922","41,809","0","0","100,00","0","0","0","0","3365","3149,8","3535","3422,5","304,562","304,579","316,256","316,425","21,7947","20,5242","21,7946","21,3364","314,999998000","314,999998000","324,999988000","324,999988000","99,5589","99,5072","99,5658","99,5458","0,022","-0,118","-0,159","0,069","-0,06","-0,07","1,788","1,795","37,217","29,276","37,216","34,352","56,255","34,548","59,261","51,858","54,179","33,725","57,879","50,204","53,352","33,294","57,836","49,624","-0,056","-0,118","0,10432","0,11036","0","206,26","206,19","203,66","203,66","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,074","0,3058","0,0206","292,679","-2,6810","-2,671","-1,5564","-1,4841","-265,64","215,45","190,928","0","0","0","0","0,0074","-5,4982","-5,4982","-0,5046","0,432","0,008","-2,231","65,981","-0,0353","-0,1921","0,67","100,00","1,0000","1,0000","203,42","0","0","0","0","0","0","0,0000","8622,4","0","55","5,0000","237,50","1,0000","0","0","0","0","0","0,0000","0","0,156","0,156","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,902","52,902","47,302","47,302","34","-24,08","19,61","-34,83","27,35","0,0000","1783,352","0,61","100","28,154","28,031","42,172","42,338","0","0","100,00","0","0","0","0","2866","2869,3","4555","4372,5","306,215","305,529","313,757","313,835","21,8038","20,5292","21,8046","21,3450","314,999998000","314,999998000","324,999988000","324,999988000","99,5589","99,5072","99,5659","99,5459","0,010","-0,121","-0,148","0,064","-0,05","-0,03","1,434","1,445","37,274","29,307","37,278","34,407","56,237","34,588","59,298","51,922","54,163","33,761","57,913","50,265","53,335","33,330","57,868","49,684","-0,031","-0,126","0,10503","0,10386","0","206,74","206,67","203,42","203,42","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,071","0,2872","0,0171","293,091","-2,6687","-2,740","-1,4968","-1,5940","-262,47","215,45","190,910","0","0","0","0","0,0093","-5,4982","-5,4982","-0,5387","-0,997","-0,041","-0,483","66,117","-0,0430","-0,2423","1,03","100,00","1,0000","1,0000","204,07","0","0","0","0","0","0","0,0000","8649,9","0","55","5,0000","238,00","0,0000","0","0","0","0","0","0,0000","0","0,204","0,204","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,490","52,490","48,645","48,645","34","-27,69","19,93","-30,56","23,78","0,0000","1783,304","0,66","100","28,179","27,749","42,925","42,385","0","0","100,00","0","0","0","0","3207","2867,3","4043","3833,8","305,171","305,645","314,981","315,271","21,8130","20,5340","21,8147","21,3535","314,999998000","314,999998000","324,999988000","324,999988000","99,5589","99,5072","99,5661","99,5460","0,004","-0,125","-0,181","0,057","-0,08","-0,06","1,534","1,594","37,331","29,337","37,342","34,459","56,222","34,626","59,338","51,977","54,148","33,796","57,950","50,319","53,320","33,362","57,903","49,736","-0,024","-0,124","0,10964","0,10630","0","207,13","207,02","204,07","204,07","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,080","0,3122","-0,0371","293,289","-2,6426","-2,709","-1,5480","-1,5748","-258,90","215,45","190,889","0","0","0","0","0,0114","-5,4982","-5,4982","-0,5483","0,500","-0,026","-0,249","66,270","-0,0646","-0,2313","1,04","100,00","1,0000","1,0000","204,64","0","0","0","0","0","0","0,0000","8673,9","0","55","5,0000","238,55","1,0000","0","0","0","0","0","0,0000","0","0,258","0,258","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,536","52,536","48,996","48,996","34","-26,12","20,00","-30,40","23,31","0,0000","1783,251","0,21","100","28,292","27,841","42,521","41,808","0","0","100,00","0","0","0","0","3087","2899,6","3935","3968,0","305,451","305,468","315,290","315,015","21,8234","20,5395","21,8257","21,3628","314,999998000","314,999998000","324,999988000","324,999988000","99,5589","99,5072","99,5662","99,5462","0,010","-0,125","-0,190","0,036","-0,08","-0,08","1,573","1,627","37,396","29,372","37,410","34,517","56,206","34,669","59,377","52,038","54,132","33,836","57,986","50,377","53,303","33,401","57,935","49,793","-0,049","-0,109","0,10305","0,10965","0","207,63","207,54","204,64","204,64","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,108","0,2833","0,0580","292,877","-2,6670","-2,761","-1,4923","-1,5927","-255,71","215,45","190,869","0","0","0","0","0,0132","-5,4982","-5,4982","-0,5413","-0,387","-0,050","-0,587","66,411","-0,0699","-0,2168","0,88","100,00","1,0000","1,0000","204,88","0","0","0","0","0","0","0,0000","8684,3","0","55","5,0000","239,05","0,0000","0","0","0","0","0","0,0000","0","0,306","0,306","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,551","52,551","48,355","48,355","34","-28,48","19,38","-33,16","24,32","0,0000","1783,203","0,37","100","28,270","27,696","42,841","42,058","0","0","100,00","0","0","0","0","3236","2810,1","4229","4056,2","305,121","305,811","314,523","314,721","21,8326","20,5443","21,8356","21,3713","314,999998000","314,999998000","324,999988000","324,999988000","99,5589","99,5072","99,5664","99,5463","-0,009","-0,132","-0,195","0,031","-0,04","-0,07","1,497","1,546","37,454","29,401","37,473","34,570","56,190","34,706","59,416","52,096","54,117","33,870","58,022","50,432","53,287","33,433","57,968","49,847","-0,049","-0,103","0,10883","0,10814","0","208,04","207,97","204,88","204,88","0","0"
