"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","25.02.2024",,,"Origin Time","0,000","s"
"Log Time","17:28:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,800","s"
"Duration","40,800","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1711","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,026","0,2935","0,1899","292,999","-2,7463","-2,466","-1,5427","-1,5206","-275,64","215,68","190,987","0","0","0","0","0,0016","-5,4982","-5,4982","-0,5518","1,657","-0,003","-0,846","65,519","-0,0313","-0,2108","0,20","100,00","1,0000","1,0000","202,30","0","0","0","0","0","0","0,0000","8575,0","0","55","5,0000","235,84","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","51,041","51,041","48,355","48,355","34","-29,60","27,42","-29,33","25,16","0,0000","1783,522","0,50","100","27,286","27,315","40,987","40,817","0","0","100,00","0","0","0","0","3333","4060,4","4033","4013,3","304,763","301,728","315,047","314,849","21,7826","20,5214","21,7680","21,3134","314,999990000","314,999990000","324,999980000","324,999980000","99,5594","99,5074","99,5653","99,5453","0,006","-0,110","-0,150","0,076","-0,07","-0,05","1,565","1,573","37,141","29,259","37,050","34,209","56,467","34,642","59,132","51,686","54,368","33,789","57,746","50,035","53,527","33,332","57,700","49,453","-0,046","-0,108","0,11170","0,10556","0","205,32","205,26","202,30","202,30","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,088","0,3101","0,1948","291,962","-2,6491","-2,708","-1,5635","-1,4068","-272,10","215,69","190,966","0","0","0","0","0,0037","-5,4982","-5,4982","-0,4623","-1,283","-0,054","-0,565","65,685","-0,0356","-0,1547","0,92","100,00","1,0000","1,0000","202,34","0","0","0","0","0","0","0,0000","8576,3","0","55","5,0000","236,44","1,0000","0","0","0","0","0","0,0000","0","0,057","0,057","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","111,11","54,276","54,276","46,570","46,570","34","-23,94","16,25","-35,60","29,19","0,0000","1783,470","0,59","100","27,538","27,009","43,953","44,732","0","0","100,00","0","0","0","0","2889","2437,6","4530","4817,5","306,082","307,046","313,672","312,575","21,7930","20,5268","21,7795","21,3232","314,999998000","314,999998000","324,999988000","324,999988000","99,5595","99,5074","99,5655","99,5454","0,015","-0,124","-0,152","0,054","-0,06","-0,05","1,340","1,381","37,206","29,292","37,122","34,270","56,448","34,683","59,180","51,758","54,350","33,826","57,791","50,104","53,508","33,368","57,742","49,520","-0,027","-0,119","0,10211","0,11472","0","205,80","205,72","202,34","202,34","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,096","0,2779","-0,0455","292,923","-2,6337","-2,661","-1,5450","-1,5401","-268,94","215,70","190,947","0","0","0","0","0,0055","-5,4982","-5,4982","-0,5369","0,169","-0,017","1,548","65,815","-0,0463","-0,2280","1,13","100,00","1,0000","1,0000","203,41","0","0","0","0","0","0","0,0000","8621,6","0","55","5,0000","236,91","0,0000","0","0","0","0","0","0,0000","0","0,105","0,105","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,155","52,155","48,843","48,843","34","-29,73","20,36","-28,12","19,61","0,0000","1783,421","0,66","100","28,080","27,304","43,462","43,092","0","0","100,00","0","0","0","0","3378","3038,7","3725","3563,7","304,563","304,977","315,743","316,018","21,8026","20,5316","21,7893","21,3313","314,999998000","314,999998000","324,999988000","324,999988000","99,5595","99,5074","99,5656","99,5456","-0,008","-0,134","-0,190","0,032","-0,05","-0,07","1,660","1,708","37,266","29,323","37,183","34,320","56,434","34,721","59,215","51,806","54,337","33,861","57,823","50,150","53,495","33,402","57,772","49,565","-0,029","-0,123","0,10623","0,10187","0","206,21","206,13","203,41","203,41","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,099","0,2980","-0,0215","292,511","-2,6523","-2,690","-1,5313","-1,5074","-265,78","215,72","190,929","0","0","0","0","0,0073","-5,4982","-5,4982","-0,4893","0,504","-0,003","-1,722","65,960","-0,0586","-0,1820","0,93","100,00","1,0000","1,0000","203,47","0","0","0","0","0","0","0,0000","8624,3","0","55","5,0000","237,43","1,0000","0","0","0","0","0","0,0000","0","0,153","0,153","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,131","53,131","46,722","46,722","34","-25,55","18,71","-33,97","24,34","0,0000","1783,373","0,87","100","27,898","27,534","43,450","43,205","0","0","100,00","0","0","0","0","2953","2874,9","4361","4131,4","305,911","305,485","314,199","314,490","21,8118","20,5367","21,7991","21,3397","314,999998000","314,999998000","324,999988000","324,999988000","99,5595","99,5075","99,5657","99,5457","-0,010","-0,150","-0,175","0,040","-0,06","-0,03","1,472","1,499","37,324","29,354","37,244","34,374","56,418","34,761","59,252","51,867","54,321","33,899","57,858","50,208","53,478","33,438","57,804","49,623","-0,014","-0,139","0,10558","0,10078","0","206,69","206,59","203,47","203,47","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,114","0,2822","0,0140","292,847","-2,6383","-2,766","-1,4644","-1,6228","-262,22","215,72","190,908","0","0","0","0","0,0094","-5,4982","-5,4982","-0,5178","-1,024","-0,065","-0,641","66,115","-0,0732","-0,2105","1,42","100,00","1,0000","1,0000","204,07","0","0","0","0","0","0","0,0000","8649,7","0","55","5,0000","237,98","0,0000","0","0","0","0","0","0,0000","0","0,207","0,207","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,994","52,994","47,668","47,668","34","-28,58","18,33","-32,26","22,67","0,0000","1783,319","0,86","100","27,955","27,255","43,922","42,847","0","0","100,00","0","0","0","0","3197","2797,3","4137","3837,1","305,200","305,905","314,752","315,286","21,8223","20,5420","21,8103","21,3492","314,999998000","314,999998000","324,999988000","324,999988000","99,5595","99,5075","99,5659","99,5458","-0,026","-0,157","-0,206","0,026","-0,04","-0,05","1,532","1,594","37,389","29,387","37,315","34,432","56,400","34,804","59,296","51,929","54,304","33,938","57,899","50,268","53,460","33,475","57,841","49,681","-0,011","-0,147","0,10944","0,10515","0","207,13","207,01","204,07","204,07","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,141","0,2848","-0,1402","292,938","-2,6494","-2,720","-1,5158","-1,6163","-258,84","215,73","190,888","0","0","0","0","0,0114","-5,4982","-5,4982","-0,5364","0,474","-0,054","0,342","66,261","-0,0911","-0,2203","1,37","100,00","1,0000","1,0000","204,56","0","0","0","0","0","0","0,0000","8670,6","0","55","5,0000","238,51","1,0000","0","0","0","0","0","0,0000","0","0,258","0,258","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,582","52,582","48,401","48,401","34","-28,35","19,05","-32,29","22,36","0,0000","1783,268","0,40","100","28,248","27,363","43,342","42,166","0","0","100,00","0","0","0","0","3180","2909,9","4006","3964,0","305,024","305,469","315,093","315,032","21,8323","20,5471","21,8207","21,3579","314,999998000","314,999998000","324,999988000","324,999988000","99,5595","99,5075","99,5660","99,5460","-0,015","-0,152","-0,223","0,007","-0,00","-0,06","1,574","1,630","37,452","29,419","37,380","34,487","56,385","34,844","59,334","51,987","54,290","33,975","57,935","50,323","53,446","33,511","57,874","49,735","-0,043","-0,118","0,10401","0,10874","0","207,57","207,49","204,56","204,56","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,137","0,2989","0,1206","292,786","-2,6376","-2,783","-1,5646","-1,5857","-255,86","215,73","190,870","0","0","0","0","0,0131","-5,4982","-5,4982","-0,5210","0,004","-0,065","-0,347","66,391","-0,0952","-0,1983","1,09","100,00","1,0000","1,0000","204,86","0","0","0","0","0","0","0,0000","8683,1","0","55","5,0000","238,98","0,0000","0","0","0","0","0","0,0000","0","0,303","0,303","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,994","52,994","47,623","47,623","34","-28,36","18,56","-35,45","22,93","0,0000","1783,224","0,47","100","28,017","27,204","43,588","42,386","0","0","100,00","0","0","0","0","3193","2817,1","4259","4053,0","305,184","305,812","314,462","314,782","21,8411","20,5517","21,8300","21,3658","314,999998000","314,999998000","324,999988000","324,999988000","99,5595","99,5075","99,5662","99,5461","-0,021","-0,159","-0,216","0,008","-0,03","-0,07","1,504","1,549","37,507","29,448","37,438","34,537","56,371","34,880","59,371","52,041","54,277","34,008","57,968","50,375","53,432","33,544","57,906","49,786","-0,047","-0,112","0,10128","0,10463","0","207,99","207,92","204,86","204,86","0","0"
