"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","28.02.2024",,,"Origin Time","0,000","s"
"Log Time","14:46:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,850","s"
"Duration","40,850","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1710","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999990000","0,00","26","26","26","26","-0,089","0,3063","0,0687","294,495","-2,7015","-2,684","-1,4945","-1,5687","-275,50","216,30","190,987","0","0","0","0","0,0017","-5,4982","-5,4982","-0,5456","1,203","-0,028","-0,661","65,516","-0,0597","-0,2116","1,03","100,00","1,0000","1,0000","202,30","0","0","0","0","0","0","0,0000","8574,9","0","55","5,0000","235,83","0,0000","0","0","0","0","0","0,0000","0","0,006","0,006","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","53,207","53,207","49,927","49,927","34","-26,72","22,62","-31,03","23,02","0,0000","1783,582","0,88","100","27,287","26,475","40,391","39,911","0","0","100,00","0","0","0","0","2980","3335,4","4101","3923,3","305,785","304,229","314,849","315,049","21,7676","20,4988","21,7533","21,2943","314,999990000","314,999990000","324,999980000","324,999980000","99,5584","99,5068","99,5645","99,5445","-0,022","-0,136","-0,182","0,034","-0,03","-0,06","1,541","1,581","37,047","29,118","36,958","34,089","56,115","34,175","58,828","51,284","54,037","33,373","57,466","49,668","53,205","32,950","57,435","49,107","-0,011","-0,133","0,11003","0,10358","0","205,32","205,24","202,30","202,30","190,012510","21,04372"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999996000","0,00","26","26","26","26","-0,125","0,3018","-0,0121","293,472","-2,6138","-2,799","-1,5011","-1,5224","-271,96","216,29","190,966","0","0","0","0","0,0038","-5,4982","-5,4982","-0,5031","-0,802","-0,079","-0,473","65,682","-0,0719","-0,2058","1,35","100,00","1,0000","1,0000","202,50","0","0","0","0","0","0","0,0000","8583,0","0","55","5,0000","236,42","1,0000","0","0","0","0","0","0,0000","0","0,060","0,060","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,909","53,909","48,874","48,874","34","-27,39","17,68","-34,41","26,96","0,0000","1783,531","1,00","100","27,466","26,426","42,499","41,206","0","0","100,00","0","0","0","0","3073","2679,5","4263","4610,1","305,395","306,297","314,356","313,257","21,7780","20,5040","21,7647","21,3038","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5069","99,5647","99,5446","-0,029","-0,156","-0,201","0,020","-0,02","-0,05","1,404","1,460","37,113","29,150","37,029","34,148","56,099","34,218","58,876","51,353","54,022","33,413","57,512","49,734","53,189","32,988","57,477","49,172","0,003","-0,146","0,10660","0,10590","0","205,78","205,68","202,50","202,50","190,012512","21,04372"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999996000","0,00","26","26","26","26","-0,131","0,2991","-0,0355","294,159","-2,6020","-2,807","-1,4798","-1,6060","-268,61","216,29","190,947","0","0","0","0","0,0057","-5,4982","-5,4982","-0,5467","0,326","-0,055","1,737","65,826","-0,0895","-0,2501","1,66","100,00","1,0000","1,0000","203,41","0","0","0","0","0","0","0,0000","8621,9","0","55","5,0000","236,94","0,0000","0","0","0","0","0","0,0000","0","0,111","0,111","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,933","52,933","50,598","50,598","34","-30,76","18,77","-29,79","19,70","0,0000","1783,478","0,79","100","28,010","26,531","42,202","40,756","0","0","100,00","0","0","0","0","3328","2893,3","3724","3743,5","304,698","305,540","315,727","315,604","21,7882","20,5088","21,7750","21,3124","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5069","99,5648","99,5448","-0,049","-0,174","-0,242","-0,011","-0,06","-0,05","1,621","1,673","37,176","29,180","37,094","34,202","56,088","34,258","58,915","51,409","54,012","33,450","57,548","49,788","53,178","33,023","57,511","49,225","-0,009","-0,141","0,10365","0,10931","0","206,30","206,13","203,41","203,41","190,012512","21,04372"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999996000","0,00","26","26","26","26","-0,142","0,3247","0,0879","293,976","-2,7193","-2,713","-1,4941","-1,5987","-265,64","216,28","190,929","0","0","0","0","0,0074","-5,4982","-5,4982","-0,5106","0,191","-0,022","0,140","65,963","-0,1041","-0,2009","1,30","100,00","1,0000","1,0000","203,53","0","0","0","0","0","0","0,0000","8626,8","0","55","5,0000","237,44","1,0000","0","0","0","0","0","0,0000","0","0,156","0,156","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","54,077","54,077","48,676","48,676","34","-25,87","17,86","-34,71","23,77","0,0000","1783,433","0,71","100","27,654","26,427","42,178","40,852","0","0","100,00","0","0","0","0","2825","2836,3","4245","4200,6","306,186","305,822","314,427","314,442","21,7968","20,5133","21,7842","21,3201","314,999998000","314,999998000","324,999988000","324,999988000","99,5584","99,5069","99,5650","99,5449","-0,036","-0,163","-0,220","0,003","-0,03","-0,05","1,489","1,563","37,230","29,208","37,151","34,251","56,074","34,297","58,950","51,465","53,998","33,485","57,581","49,841","53,164","33,057","57,542","49,277","-0,023","-0,123","0,09952","0,11427","0","206,68","206,59","203,53","203,53","190,012512","21,04372"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999996000","0,00","26","26","26","26","-0,145","0,2975","-0,0202","294,144","-2,6510","-2,764","-1,5084","-1,6072","-262,27","216,26","190,910","0","0","0","0","0,0094","-5,4982","-5,4982","-0,5483","-0,671","-0,095","-1,726","66,111","-0,1061","-0,2381","1,27","100,00","1,0000","1,0000","204,14","0","0","0","0","0","0","0,0000","8652,7","0","55","5,0000","237,97","0,0000","0","0","0","0","0","0,0000","0","0,207","0,207","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,497","53,497","49,393","49,393","34","-30,43","18,18","-33,06","19,77","0,0000","1783,381","0,64","100","27,424","26,433","42,468","40,885","0","0","100,00","0","0","0","0","3287","2827,2","4065","3624,9","304,987","305,676","314,904","315,789","21,8064","20,5182","21,7947","21,3289","314,999998000","314,999998000","324,999988000","324,999988000","99,5585","99,5069","99,5651","99,5450","-0,047","-0,169","-0,230","0,002","-0,06","-0,03","1,583","1,641","37,290","29,239","37,217","34,306","56,057","34,341","58,996","51,527","53,982","33,526","57,624","49,901","53,147","33,096","57,581","49,335","-0,024","-0,117","0,10128","0,10918","0","207,13","206,99","204,14","204,14","190,012512","21,04372"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999996000","0,00","26","26","26","26","-0,136","0,2969","0,0008","294,052","-2,6644","-2,785","-1,4946","-1,5914","-258,70","216,24","190,888","0","0","0","0","0,0115","-5,4982","-5,4982","-0,5348","0,325","-0,095","-0,228","66,270","-0,1083","-0,2133","1,10","100,00","1,0000","1,0000","204,52","0","0","0","0","0","0","0,0000","8668,7","0","55","5,0000","238,54","1,0000","0","0","0","0","0","0,0000","0","0,261","0,261","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","111,11","53,894","53,894","49,332","49,332","34","-29,00","18,23","-34,63","21,27","0,0000","1783,330","0,19","100","27,491","26,302","42,283","40,706","0","0","100,00","0","0","0","0","3197","2715,9","4213","4019,4","305,221","306,077","314,621","314,834","21,8170","20,5235","21,8057","21,3380","314,999998000","314,999998000","324,999988000","324,999988000","99,5585","99,5069","99,5653","99,5452","-0,032","-0,149","-0,232","-0,019","-0,04","-0,05","1,534","1,583","37,356","29,272","37,286","34,362","56,043","34,382","59,037","51,585","53,969","33,563","57,663","49,956","53,134","33,132","57,617","49,390","-0,054","-0,091","0,10236","0,11061","0","207,63","207,54","204,52","204,52","190,012512","21,04372"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,0000000","0,000","59,999996000","0,00","26","26","26","26","-0,122","0,3070","0,0042","293,945","-2,6297","-2,816","-1,5375","-1,5884","-255,32","216,22","190,868","0","0","0","0","0,0134","-5,4982","-5,4982","-0,5314","0,104","-0,073","0,941","66,418","-0,0993","-0,2152","0,66","100,00","1,0000","1,0000","204,98","0","0","0","0","0","0","0,0000","8688,4","0","55","5,0000","239,08","0,0000","0","0","0","0","0","0,0000","0","0,312","0,312","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","111,11","53,696","53,696","49,149","49,149","34","-26,79","20,60","-32,47","22,97","0,0000","1783,277","0,02","100","27,554","26,297","42,463","40,935","0","0","100,00","0","0","0","0","3058","2889,7","4080","4040,1","305,411","305,627","314,871","314,856","21,8268","20,5285","21,8162","21,3469","314,999998000","314,999998000","324,999988000","324,999988000","99,5585","99,5070","99,5654","99,5453","-0,012","-0,127","-0,204","0,014","-0,05","-0,06","1,564","1,589","37,418","29,303","37,351","34,418","56,028","34,423","59,078","51,647","53,955","33,601","57,700","50,016","53,119","33,168","57,653","49,447","-0,069","-0,073","0,10182","0,10615","0","208,07","208,00","204,98","204,98","190,012512","21,04372"
