"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","18.02.2024",,,"Origin Time","0,000","s"
"Log Time","14:20:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,850","s"
"Duration","40,850","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1711","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999990000","0,00","26","26","26","26","-0,076","0,2928","0,0392","293,930","-2,7182","-2,661","-1,5136","-1,5596","-275,61","216,29","190,987","0","0","0","0","0,0016","-5,4982","-5,4982","-0,5491","1,515","-0,010","-0,228","65,488","-0,0305","-0,2165","0,98","100,00","1,0000","1,0000","202,19","0","0","0","0","0","0","0,0000","8570,3","0","55","5,0000","235,73","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,000","52,612","52,612","49,484","49,484","34","-26,96","24,29","-30,39","25,45","0,0000","1782,902","0,80","100","27,378","27,004","40,562","40,533","0","0","100,00","0","0","0","0","3072","3417,2","4141","4003,9","305,421","303,971","314,759","314,883","21,792","20,5166","21,777","21,3193","314,999990000","314,999990000","324,999980000","324,999980000","99,5596","99,5073","99,5653","99,5454","0,003","-0,110","-0,155","0,073","-0,05","-0,06","1,523","1,568","37,201","29,229","37,105","34,246","56,517","34,503","59,108","51,678","54,416","33,662","57,734","50,032","53,576","33,212","57,698","49,455","-0,005","-0,136","0,11207","0,10677","0","205,23","205,16","202,19","202,19","0","0"
"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999996000","0,00","26","26","26","26","-0,091","0,3230","0,1624","293,137","-2,6483","-2,758","-1,5365","-1,5415","-272,26","216,29","190,967","0","0","0","0","0,0036","-5,4982","-5,4982","-0,4942","-0,682","-0,047","-0,856","65,643","-0,0466","-0,1918","1,38","100,00","1,0000","1,0000","202,37","0","0","0","0","0","0","0,0000","8577,7","0","55","5,0000","236,28","1,0000","0","0","0","0","0","0,0000","0","0,054","0,054","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","66,667","53,741","53,741","48,309","48,309","34","-26,95","17,85","-33,28","29,09","0,0000","1782,852","0,90","100","27,386","26,966","42,793","41,734","0","0","100,00","0","0","0","0","3091","2678,4","4241","4720,3","305,519","306,314","314,465","313,090","21,802","20,5216","21,788","21,3284","314,999998000","314,999998000","324,999988000","324,999988000","99,5596","99,5073","99,5655","99,5455","-0,012","-0,142","-0,175","0,038","-0,04","-0,03","1,403","1,461","37,263","29,261","37,173","34,303","56,500","34,544","59,153","51,743","54,400","33,699","57,776","50,095","53,559","33,248","57,737","49,517","-0,002","-0,145","0,09860","0,10671","0","205,69","205,55","202,37","202,37","0","0"
"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999996000","0,00","26","26","26","26","-0,144","0,2894","-0,1301","293,655","-2,5966","-2,801","-1,4851","-1,6140","-268,91","216,28","190,948","0","0","0","0","0,0055","-5,4982","-5,4982","-0,5473","0,080","-0,053","2,253","65,785","-0,0695","-0,2486","1,64","100,00","1,0000","1,0000","203,26","0","0","0","0","0","0","0,0000","8615,4","0","55","5,0000","236,80","0,0000","0","0","0","0","0","0,0000","0","0,105","0,105","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","55,556","52,475","52,475","50,095","50,095","34","-29,98","19,79","-29,28","20,05","0,0000","1782,802","0,75","100","28,367","26,987","42,645","41,420","0","0","100,00","0","0","0","0","3323","2905,8","3772","3670,7","304,564","305,604","315,592","315,821","21,812","20,5266","21,798","21,3372","314,999998000","314,999998000","324,999988000","324,999988000","99,5596","99,5073","99,5656","99,5457","-0,028","-0,147","-0,218","0,007","-0,04","-0,03","1,624","1,690","37,327","29,291","37,238","34,357","56,487","34,582","59,191","51,801","54,387","33,734","57,811","50,150","53,546","33,281","57,769","49,570","-0,014","-0,135","0,10610","0,10411","0","206,13","205,98","203,26","203,26","0","0"
"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999996000","0,00","26","26","26","26","-0,138","0,3060","-0,0062","293,320","-2,7308","-2,687","-1,5172","-1,5902","-265,75","216,26","190,929","0","0","0","0","0,0074","-5,4982","-5,4982","-0,5101","0,617","-0,006","-0,425","65,929","-0,0854","-0,2002","1,24","100,00","1,0000","1,0000","203,39","0","0","0","0","0","0","0,0000","8620,7","0","55","5,0000","237,31","1,0000","0","0","0","0","0","0,0000","0","0,153","0,153","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","66,667","53,406","53,406","48,050","48,050","34","-25,77","18,21","-35,61","24,63","0,0000","1782,752","0,55","100","27,963","27,184","42,456","41,499","0","0","100,00","0","0","0","0","2876","2820,4","4325","4262,3","306,005","305,671","314,322","314,291","21,822","20,5314","21,808","21,3456","314,999998000","314,999998000","324,999988000","324,999988000","99,5596","99,5073","99,5658","99,5458","-0,014","-0,151","-0,219","0,012","-0,05","-0,04","1,495","1,546","37,385","29,322","37,300","34,410","56,471","34,622","59,227","51,859","54,372","33,771","57,846","50,206","53,530","33,316","57,801","49,626","-0,040","-0,120","0,10884","0,10995","0","206,59","206,47","203,39","203,39","0","0"
"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999996000","0,00","26","26","26","26","-0,148","0,2726","-0,0160","293,549","-2,6604","-2,742","-1,5306","-1,5980","-262,39","216,25","190,910","0","0","0","0","0,0093","-5,4982","-5,4982","-0,5428","-0,839","-0,074","-0,834","66,075","-0,0861","-0,2363","1,07","100,00","1,0000","1,0000","203,97","0","0","0","0","0","0","0,0000","8645,8","0","55","5,0000","237,84","0,0000","0","0","0","0","0","0,0000","0","0,204","0,204","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","66,667","53,009","53,009","48,645","48,645","34","-28,19","20,09","-32,16","20,83","0,0000","1782,702","0,58","100","27,853","26,810","42,951","41,620","0","0","100,00","0","0","0","0","3187","2987,6","4058","3699,0","305,188","305,358","314,862","315,624","21,831","20,5366","21,819","21,3545","314,999998000","314,999998000","324,999988000","324,999988000","99,5596","99,5073","99,5659","99,5459","-0,013","-0,143","-0,199","0,015","-0,05","-0,07","1,539","1,607","37,446","29,354","37,366","34,465","56,452","34,663","59,269","51,919","54,354","33,810","57,884","50,263","53,512","33,353","57,837","49,681","-0,035","-0,116","0,10724","0,10384","0","206,98","206,91","203,97","203,97","0","0"
"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999996000","0,00","26","26","26","26","-0,124","0,3018","-0,0081","293,610","-2,6719","-2,765","-1,5087","-1,5883","-259,01","216,23","190,890","0","0","0","0","0,0113","-5,4982","-5,4982","-0,5350","0,374","-0,084","-0,183","66,222","-0,0870","-0,2135","1,07","100,00","1,0000","1,0000","204,38","0","0","0","0","0","0","0,0000","8663,1","0","55","5,0000","238,37","1,0000","0","0","0","0","0","0,0000","0","0,255","0,255","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","55,556","53,406","53,406","48,904","48,904","34","-28,11","18,78","-34,18","22,70","0,0000","1782,652","0,29","100","27,788","26,787","42,614","41,290","0","0","100,00","0","0","0","0","3202","2751,7","4199","4025,7","305,209","305,973","314,670","314,837","21,842","20,5417","21,829","21,3632","314,999998000","314,999998000","324,999988000","324,999988000","99,5596","99,5074","99,5660","99,5461","-0,007","-0,137","-0,221","0,008","-0,05","-0,02","1,521","1,572","37,509","29,386","37,431","34,520","56,438","34,703","59,309","51,975","54,340","33,846","57,921","50,317","53,497","33,389","57,871","49,734","-0,055","-0,091","0,10865","0,11120","0","207,47","207,38","204,38","204,38","0","0"
"0,0000","0","0","1","1","0","0","1","0","0","1","1,18560","26","0","0,00000","0,000","59,999996000","0,00","26","26","26","26","-0,104","0,2813","-0,0085","293,411","-2,6451","-2,736","-1,5583","-1,5797","-255,83","216,21","190,870","0","0","0","0","0,0131","-5,4982","-5,4982","-0,5305","0,083","-0,061","-0,505","66,360","-0,0833","-0,2146","0,80","100,00","1,0000","1,0000","204,80","0","0","0","0","0","0","0,0000","8680,9","0","55","5,0000","238,86","0,0000","0","0","0","0","0","0,0000","0","0,303","0,303","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","66,667","53,085","53,085","48,676","48,676","34","-27,53","20,33","-33,66","23,35","0,0000","1782,602","0,09","100","27,674","26,915","42,689","41,642","0","0","100,00","0","0","0","0","3205","2909,7","4122","3994,1","305,156","305,431","314,844","314,906","21,851","20,5465","21,839","21,3716","314,999998000","314,999998000","324,999988000","324,999988000","99,5596","99,5074","99,5662","99,5462","0,003","-0,125","-0,213","0,026","-0,05","-0,04","1,526","1,566","37,568","29,416","37,493","34,573","56,423","34,742","59,346","52,033","54,326","33,882","57,956","50,373","53,482","33,422","57,904","49,789","-0,071","-0,079","0,11009","0,11936","0","207,89","207,82","204,80","204,80","0","0"
