"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","17.02.2024",,,"Origin Time","0,000","s"
"Log Time","17:19:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,850","s"
"Duration","40,850","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1712","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,020","0,3112","0,2107","292,282","-2,7911","-2,445","-1,5705","-1,5047","-275,44","215,41","190,986","0","0","0","0","0,0017","-5,4982","-5,4982","-0,5670","2,583","0,006","-0,400","65,500","-0,0254","-0,2309","0,06","100,00","1,0000","1,0000","202,33","0","0","0","0","0","0","0,0000","8758,8","0","55","5,0000","235,77","0,0000","0","0","0","0","0","0,0000","0","0,006","0,006","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","49,362","49,362","47,943","47,943","34","-30,75","31,64","-28,52","26,22","0,0000","1783,735","0,18","100","27,751","28,409","40,741","40,460","0,0000","1","100,00","0","0","0","0","3498","4350,6","4041","4109,7","304,063","300,493","315,046","314,666","21,7695","20,5109","21,7548","21,2917","314,999990000","314,999990000","324,999980000","324,999980000","99,5587","99,5072","99,5651","99,5445","0,034","-0,081","-0,129","0,092","-0,06","-0,04","1,615","1,617","37,059","29,193","36,967","34,073","56,239","34,426","59,051","51,476","54,169","33,631","57,691","49,831","53,348","33,227","57,669","49,250","-0,067","-0,088","0,10667","0,10942","0","205,24","205,21","202,33","202,33","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,047","0,3241","0,2275","291,718","-2,6960","-2,690","-1,6171","-1,4490","-272,09","215,41","190,966","0","0","0","0","0,0037","-5,4982","-5,4982","-0,4697","-2,191","-0,041","-0,808","65,668","-0,0217","-0,1838","0,46","100,00","1,0000","1,0000","202,18","0","0","0","0","0","0","0,0000","8752,2","0","55","5,0000","236,37","1,0000","0","0","0","0","0","0,0000","0","0,057","0,057","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","54,092","54,092","46,524","46,524","34","-21,96","16,88","-38,24","33,24","0,0000","1783,682","0,24","100","27,786","27,488","43,213","44,437","0,0000","1","100,00","0","0","0","0","2776","2424,9","4776","5084,8","306,419","307,108","313,005","311,288","21,7792","20,5158","21,7658","21,3012","314,999998000","314,999998000","324,999988000","324,999988000","99,5587","99,5072","99,5653","99,5447","0,049","-0,096","-0,136","0,059","-0,02","-0,04","1,277","1,330","37,120","29,224","37,036","34,133","56,222","34,462","59,102","51,551","54,152","33,664","57,739","49,904","53,330","33,258","57,714","49,321","-0,061","-0,097","0,10468","0,10735","0","205,69","205,66","202,18","202,18","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,070","0,3092","-0,2363","293,594","-2,6671","-2,644","-1,5784","-1,5139","-268,74","215,41","190,947","0","0","0","0","0,0056","-5,4982","-5,4982","-0,5754","1,077","-0,003","2,206","65,808","-0,0231","-0,2686","0,68","100,00","1,0000","1,0000","203,70","0","0","0","0","0","0","0,0000","8817,8","0","55","5,0000","236,88","0,0000","0","0","0","0","0","0,0000","0","0,108","0,108","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","51,666","51,666","50,354","50,354","34","-27,91","22,27","-24,66","19,43","0,0000","1783,634","0,41","100","28,434","27,809","42,096","41,986","0,0000","1","100,00","0","0","0","0","3274","3144,8","3523","3409,7","304,685","304,596","316,271","316,470","21,7893","20,5210","21,7760","21,3095","314,999998000","314,999998000","324,999988000","324,999988000","99,5587","99,5072","99,5654","99,5448","0,022","-0,107","-0,159","0,074","-0,07","-0,06","1,832","1,856","37,183","29,256","37,100","34,185","56,209","34,501","59,138","51,600","54,140","33,701","57,772","49,951","53,317","33,293","57,745","49,367","-0,050","-0,107","0,10453","0,10950","0","206,19","206,13","203,70","203,70","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,058","0,3242","0,0284","292,709","-2,6861","-2,672","-1,5598","-1,4825","-265,58","215,42","190,928","0","0","0","0","0,0075","-5,4982","-5,4982","-0,4958","0,568","0,010","-2,265","65,964","-0,0337","-0,1840","0,61","100,00","1,0000","1,0000","203,46","0","0","0","0","0","0","0,0000","8807,5","0","55","5,0000","237,44","1,0000","0","0","0","0","0","0,0000","0","0,156","0,156","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","53,207","53,207","47,119","47,119","34","-23,44","20,05","-34,63","28,22","0,0000","1783,585","0,59","100","27,891","27,742","42,318","42,486","0,0000","1","100,00","0","0","0","0","2845","2871,7","4552","4400,5","306,262","305,484","313,757","313,773","21,7984","20,5260","21,7859","21,3181","314,999998000","314,999998000","324,999988000","324,999988000","99,5587","99,5072","99,5655","99,5450","0,024","-0,112","-0,147","0,079","-0,03","-0,03","1,465","1,479","37,240","29,288","37,162","34,238","56,192","34,541","59,178","51,666","54,123","33,737","57,809","50,014","53,300","33,328","57,779","49,430","-0,032","-0,113","0,10851","0,10677","0","206,66","206,65","203,46","203,46","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,085","0,3003","-0,0785","293,259","-2,6716","-2,741","-1,4952","-1,5970","-262,21","215,42","190,909","0","0","0","0","0,0094","-5,4982","-5,4982","-0,5336","-0,875","-0,043","0,466","66,116","-0,0413","-0,2353","0,96","100,00","1,0000","1,0000","204,16","0","0","0","0","0","0","0,0000","8838,1","0","55","5,0000","237,99","0,0000","0","0","0","0","0","0,0000","0","0,207","0,207","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,963","52,963","48,584","48,584","34","-26,50","20,71","-29,02","24,06","0,0000","1783,532","0,61","100","27,927","27,206","43,067","42,392","0,0000","1","100,00","0","0","0","0","3104","2925,5","4014","3845,3","305,323","305,553","315,009","315,269","21,8082","20,5311","21,7967","21,3271","314,999998000","314,999998000","324,999988000","324,999988000","99,5587","99,5072","99,5657","99,5451","0,013","-0,115","-0,161","0,066","-0,03","-0,07","1,615","1,647","37,301","29,319","37,229","34,294","56,174","34,582","59,224","51,731","54,107","33,776","57,852","50,077","53,283","33,365","57,819","49,490","-0,029","-0,119","0,10266","0,10263","0","207,10","207,05","204,16","204,16","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,065","0,3130","-0,0426","293,549","-2,6508","-2,718","-1,5496","-1,5727","-258,83","215,41","190,889","0","0","0","0","0,0114","-5,4982","-5,4982","-0,5356","0,586","-0,025","-0,383","66,268","-0,0604","-0,2188","0,96","100,00","1,0000","1,0000","204,71","0","0","0","0","0","0","0,0000","8861,9","0","55","5,0000","238,54","1,0000","0","0","0","0","0","0,0000","0","0,258","0,258","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,192","53,192","48,889","48,889","34","-25,83","20,34","-29,93","23,26","0,0000","1783,483","0,33","100","27,679","27,261","42,542","41,875","0,0000","1","100,00","0","0","0","0","3073","2881,7","3949","3980,6","305,527","305,483","315,258","314,968","21,8180","20,5363","21,8071","21,3358","314,999998000","314,999998000","324,999988000","324,999988000","99,5587","99,5072","99,5658","99,5452","0,014","-0,116","-0,182","0,037","-0,06","-0,06","1,627","1,673","37,363","29,352","37,294","34,349","56,160","34,621","59,261","51,788","54,093","33,811","57,886","50,131","53,268","33,398","57,850","49,544","-0,051","-0,099","0,10002","0,10819","0","207,63","207,54","204,71","204,71","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,096","0,3038","0,0445","293,320","-2,6816","-2,769","-1,4918","-1,5898","-255,65","215,41","190,869","0","0","0","0","0,0132","-5,4982","-5,4982","-0,5275","-0,397","-0,047","-0,895","66,417","-0,0645","-0,2042","0,87","100,00","1,0000","1,0000","204,98","0","0","0","0","0","0","0,0000","8873,4","0","55","5,0000","239,07","0,0000","0","0","0","0","0","0,0000","0","0,306","0,306","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,406","53,406","48,492","48,492","34","-28,59","19,38","-32,57","24,27","0,0000","1783,435","0,19","100","27,472","26,956","42,742","42,060","0,0000","1","100,00","0","0","0","0","3229","2772,6","4227","4044,3","305,167","305,886","314,536","314,719","21,8271","20,5410","21,8170","21,3443","314,999998000","314,999998000","324,999988000","324,999988000","99,5587","99,5072","99,5660","99,5454","-0,011","-0,127","-0,188","0,035","-0,06","-0,03","1,534","1,580","37,420","29,381","37,356","34,402","56,144","34,657","59,301","51,849","54,077","33,844","57,923","50,189","53,252","33,431","57,885","49,600","-0,040","-0,099","0,10394","0,10169","0","208,07","207,97","204,98","204,98","0","0"
