"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","18.02.2024",,,"Origin Time","0,000","s"
"Log Time","10:58:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,900","s"
"Duration","40,900","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1711","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,088","0,2956","0,0842","293,289","-2,7482","-2,442","-1,5486","-1,4977","-275,55","216,02","190,986","0","0","0","0","0,0017","-5,4982","-5,4982","-0,5628","1,774","0,031","-0,676","65,477","-0,0377","-0,2293","0,74","100,00","1,0000","1,0000","202,13","0","0","0","0","0","0","0,0000","8567,4","0","55","5,0000","235,68","0,0000","0","0","0","0","0","0,0000","0","0,006","0,006","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","51,300","51,300","49,103","49,103","34","-26,30","22,94","-30,37","25,40","0,0000","1782,898","0,27","100","27,728","26,854","40,188","40,683","0","0","100,00","0","0","0","0","3108","3437,4","4095","4127,4","305,330","301,594","314,882","314,579","21,7838","16,6324","21,7607","21,3244","314,999990000","314,999990000","324,999980000","324,999980000","99,5590","99,5072","99,5648","99,5456","0,034","-0,086","-0,156","0,070","-0,06","-0,06","1,545","1,559","37,149","29,953","37,004","34,278","56,422","36,185","58,878","51,785","54,326","34,998","57,502","50,146","53,486","34,761","57,459","49,580","-0,059","-0,095","0,10763","0,10768","0","205,19","205,09","202,13","202,13","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,121","0,3102","0,2567","292,542","-2,6767","-2,774","-1,5694","-1,3449","-272,21","216,04","190,966","0","0","0","0","0,0036","-5,4982","-5,4982","-0,5087","-1,153","-0,025","-1,039","65,632","-0,0517","-0,2154","1,28","100,00","1,0000","1,0000","202,21","0","0","0","0","0","0","0,0000","8570,9","0","55","5,0000","236,25","1,0000","0","0","0","0","0","0,0000","0","0,057","0,057","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,979","52,979","48,218","48,218","34","-26,72","17,76","-36,71","27,35","0,0000","1782,846","0,52","100","27,660","26,688","42,073","42,284","0","0","100,00","0","0","0","0","3169","2563,4","4507","4901,8","305,261","305,065","313,796","312,562","21,7938","16,6386","21,7715","21,3337","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5072","99,5649","99,5457","0,020","-0,111","-0,175","0,039","-0,06","-0,08","1,330","1,414","37,211","29,991","37,072","34,335","56,407","36,236","58,925","51,853","54,312","35,044","57,546","50,211","53,471","34,806","57,499","49,644","-0,038","-0,111","0,09756","0,10788","0","205,67","205,51","202,21","202,21","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,147","0,2738","-0,1217","293,686","-2,6351","-2,749","-1,5343","-1,5996","-268,86","216,05","190,948","0","0","0","0","0,0056","-5,4982","-5,4982","-0,5771","0,303","-0,005","2,792","65,770","-0,0695","-0,2803","1,62","100,00","1,0000","1,0000","203,34","0","0","0","0","0","0","0,0000","8619,0","0","55","5,0000","236,74","0,0000","0","0","0","0","0","0,0000","0","0,108","0,108","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","51,590","51,590","50,827","50,827","34","-29,57","19,79","-27,64","19,48","0,0000","1782,795","0,62","100","28,557","26,611","41,855","41,389","0","0","100,00","0","0","0","0","3351","2930,8","3565","3596,6","304,458","303,744","316,095","316,048","21,8041","16,6447","21,7818","21,3423","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5072","99,5650","99,5458","-0,004","-0,129","-0,220","0,014","-0,06","-0,08","1,700","1,750","37,275","30,029","37,136","34,389","56,395","36,286","58,960","51,907","54,300","35,090","57,579","50,264","53,458","34,850","57,529","49,695","-0,032","-0,123","0,10884","0,10817","0","206,11","205,93","203,34","203,34","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,157","0,3060","0,1028","292,999","-2,6668","-2,663","-1,5292","-1,5489","-265,70","216,07","190,929","0","0","0","0","0,0074","-5,4982","-5,4982","-0,5262","0,492","0,021","-0,324","65,915","-0,0890","-0,2128","1,43","100,00","1,0000","1,0000","203,33","0","0","0","0","0","0","0,0000","8618,5","0","55","5,0000","237,26","1,0000","0","0","0","0","0","0,0000","0","0,156","0,156","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,490","52,490","48,203","48,203","34","-26,70","18,14","-35,59","24,43","0,0000","1782,747","0,61","100","28,141","26,688","41,923","41,560","0","0","100,00","0","0","0","0","3029","2845,0","4322","4307,7","305,639","303,948","314,263","314,201","21,8134","16,6506","21,7915","21,3508","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5072","99,5652","99,5460","-0,015","-0,139","-0,212","0,012","-0,03","-0,06","1,470","1,514","37,334","30,066","37,197","34,442","56,380","36,337","58,997","51,968","54,286","35,136","57,613","50,322","53,443","34,896","57,560","49,752","-0,030","-0,123","0,10889","0,10430","0","206,54","206,42","203,33","203,33","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,165","0,3003","0,0199","293,152","-2,6824","-2,763","-1,5447","-1,5744","-262,33","216,07","190,909","0","0","0","0","0,0094","-5,4982","-5,4982","-0,5567","-0,811","-0,054","-1,633","66,062","-0,0992","-0,2560","1,74","100,00","1,0000","1,0000","203,89","0","0","0","0","0","0","0,0000","8642,3","0","55","5,0000","237,79","0,0000","0","0","0","0","0","0,0000","0","0,207","0,207","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,216","52,216","48,615","48,615","34","-31,64","18,13","-35,01","19,92","0,0000","1782,695","0,70","100","27,880","26,523","42,535","41,765","0","0","100,00","0","0","0","0","3412","2777,4","4180","3750,1","304,609","304,032","314,604","315,458","21,8234","16,6568","21,8022","21,3598","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5072","99,5653","99,5461","-0,036","-0,151","-0,232","-0,007","-0,07","-0,03","1,550","1,599","37,396","30,105","37,263","34,499","56,364","36,391","59,040","52,029","54,271","35,183","57,653","50,380","53,427","34,942","57,598","49,809","-0,019","-0,125","0,10218","0,10530","0","206,97","206,79","203,89","203,89","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,165","0,3060","-0,0102","293,289","-2,6988","-2,733","-1,5351","-1,6029","-258,76","216,08","190,888","0","0","0","0","0,0114","-5,4982","-5,4982","-0,5539","0,368","-0,053","-0,526","66,216","-0,1157","-0,2349","1,71","100,00","1,0000","1,0000","204,38","0","0","0","0","0","0","0,0000","8662,8","0","55","5,0000","238,35","1,0000","0","0","0","0","0","0,0000","0","0,261","0,261","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,521","52,521","49,088","49,088","34","-30,21","17,35","-35,05","21,54","0,0000","1782,643","0,40","100","28,028","26,391","42,257","41,377","0","0","100,00","0","0","0","0","3306","2713,1","4130","4048,3","304,889","304,312","314,837","314,776","21,8341","16,6633","21,8131","21,3690","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5073","99,5655","99,5463","-0,024","-0,152","-0,250","-0,021","-0,04","-0,06","1,556","1,589","37,463","30,146","37,332","34,557","56,351","36,446","59,081","52,090","54,258","35,233","57,692","50,438","53,413","34,992","57,633","49,866","-0,044","-0,101","0,09908","0,11916","0","207,48","207,32","204,38","204,38","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,187","0,2937","-0,0004","293,152","-2,6422","-2,791","-1,5568","-1,5629","-255,78","216,08","190,870","0","0","0","0","0,0132","-5,4982","-5,4982","-0,5462","0,073","-0,053","0,645","66,345","-0,1202","-0,2290","1,45","100,00","1,0000","1,0000","204,73","0","0","0","0","0","0","0,0000","8677,6","0","55","5,0000","238,81","0,0000","0","0","0","0","0","0,0000","0","0,306","0,306","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,444","52,444","48,767","48,767","34","-29,05","18,86","-34,98","21,51","0,0000","1782,596","0,35","100","28,102","26,179","42,459","41,419","0","0","100,00","0","0","0","0","3218","2823,6","4150","4078,1","304,927","304,030","314,693","314,769","21,8429","16,6688","21,8224","21,3770","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5073","99,5656","99,5464","-0,024","-0,144","-0,232","-0,014","-0,05","-0,07","1,524","1,583","37,518","30,180","37,390","34,606","56,339","36,493","59,118","52,144","54,247","35,276","57,725","50,490","53,401","35,032","57,665","49,917","-0,049","-0,098","0,10357","0,10599","0","207,88","207,72","204,73","204,73","0","0"
